reaction,class,reactant_1,reactant_2,product,transition_state,delta_e_hartree,delta_e_kcal_mol
1-CN + CO2 -> 1-CN-CO2.P,CO2_product,1-CN,CO2,1-CN-CO2.P,,-0.027402607999988504,-17.195396132300978
1-H + CO2 -> 1-H-CO2.P,CO2_product,1-H,CO2,1-H-CO2.P,,-0.030008148999968398,-18.830397794683794
1-Me + CO2 -> 1-Me-CO2.P,CO2_product,1-Me,CO2,1-Me-CO2.P,,-0.04159542300010344,-26.10152200760241
1-PMe2 + CO2 -> 1-PMe2-CO2.P,CO2_product,1-PMe2,CO2,1-PMe2-CO2.P,,-0.042645430999982636,-26.760411975302397
1-Ph + CO2 -> 1-Ph-CO2.P,CO2_product,1-Ph,CO2,1-Ph-CO2.P,,-0.035044072000005144,-21.990487187541355
1-SiMe3 + CO2 -> 1-SiMe3-CO2.P,CO2_product,1-SiMe3,CO2,1-SiMe3-CO2.P,,-0.034015578999969875,-21.34509808607654
1-tBu + CO2 -> 1-tBu-CO2.P,CO2_product,1-tBu,CO2,1-tBu-CO2.P,,-0.0494881050000231,-31.05425473782126
2-CN + CO2 -> 2-CN-CO2.P,CO2_product,2-CN,CO2,2-CN-CO2.P,,-0.016385355999886997,-10.281966124791833
2-H + CO2 -> 2-H-CO2.P,CO2_product,2-H,CO2,2-H-CO2.P,,-0.016971323000007033,-10.649665968818514
2-Me + CO2 -> 2-Me-CO2.P,CO2_product,2-Me,CO2,2-Me-CO2.P,,-0.026854358000036882,-16.851364063210834
2-PMe2 + CO2 -> 2-PMe2-CO2.P,CO2_product,2-PMe2,CO2,2-PMe2-CO2.P,,-0.022402937000151724,-14.058055213020346
2-Ph + CO2 -> 2-Ph-CO2.P,CO2_product,2-Ph,CO2,2-Ph-CO2.P,,-0.024881632000074205,-15.613459808628132
2-SiMe3 + CO2 -> 2-SiMe3-CO2.P,CO2_product,2-SiMe3,CO2,2-SiMe3-CO2.P,,-0.022261726999886378,-13.969444600030299
2-tBu + CO2 -> 2-tBu-CO2.P,CO2_product,2-tBu,CO2,2-tBu-CO2.P,,-0.03644948600003772,-22.872397787454034
3-CN + CO2 -> 3-CN-CO2.P,CO2_product,3-CN,CO2,3-CN-CO2.P,,-0.010616514000048483,-6.661963115884059
3-H + CO2 -> 3-H-CO2.P,CO2_product,3-H,CO2,3-H-CO2.P,,-0.01244662099998095,-7.8103725967754
3-Me + CO2 -> 3-Me-CO2.P,CO2_product,3-Me,CO2,3-Me-CO2.P,,-0.02134922400000505,-13.396840322551345
3-PMe2 + CO2 -> 3-PMe2-CO2.P,CO2_product,3-PMe2,CO2,3-PMe2-CO2.P,,-0.01882451000005858,-11.812558368444499
3-Ph + CO2 -> 3-Ph-CO2.P,CO2_product,3-Ph,CO2,3-Ph-CO2.P,,-0.021027868999908605,-13.195187015473554
3-SiMe3 + CO2 -> 3-SiMe3-CO2.P,CO2_product,3-SiMe3,CO2,3-SiMe3-CO2.P,,-0.019064669000044887,-11.963260416202273
3-tBu + CO2 -> 3-tBu-CO2.P,CO2_product,3-tBu,CO2,3-tBu-CO2.P,,-0.031865240000001904,-19.995739991284953
4-CN + CO2 -> 4-CN-CO2.P,CO2_product,4-CN,CO2,4-CN-CO2.P,,-0.026736110000001645,-16.77716232290717
4-H + CO2 -> 4-H-CO2.P,CO2_product,4-H,CO2,4-H-CO2.P,,-0.03228362799995921,-20.258282425066074
4-Me + CO2 -> 4-Me-CO2.P,CO2_product,4-Me,CO2,4-Me-CO2.P,,-0.0386935579999772,-24.280574227754183
4-PMe2 + CO2 -> 4-PMe2-CO2.P,CO2_product,4-PMe2,CO2,4-PMe2-CO2.P,,-0.03334351699982108,-20.92337281386778
4-Ph + CO2 -> 4-Ph-CO2.P,CO2_product,4-Ph,CO2,4-Ph-CO2.P,,-0.03347610099990561,-21.006570530021644
4-SiMe3 + CO2 -> 4-SiMe3-CO2.P,CO2_product,4-SiMe3,CO2,4-SiMe3-CO2.P,,-0.031081878999884793,-19.504173542149353
4-tBu + CO2 -> 4-tBu-CO2.P,CO2_product,4-tBu,CO2,4-tBu-CO2.P,,-0.04477059000009831,-28.093969381631346
5-CN + CO2 -> 5-CN-CO2.P,CO2_product,5-CN,CO2,5-CN-CO2.P,,-0.014076283000008516,-8.833000941210486
5-H + CO2 -> 5-H-CO2.P,CO2_product,5-H,CO2,5-H-CO2.P,,-0.015851708000013787,-9.947096949090243
5-Me + CO2 -> 5-Me-CO2.P,CO2_product,5-Me,CO2,5-Me-CO2.P,,-0.023049750999916796,-14.463937125788762
5-PMe2 + CO2 -> 5-PMe2-CO2.P,CO2_product,5-PMe2,CO2,5-PMe2-CO2.P,,-0.018074557999852914,-11.341956383270194
5-Ph + CO2 -> 5-Ph-CO2.P,CO2_product,5-Ph,CO2,5-Ph-CO2.P,,-0.021011123000107546,-13.184678741946787
5-SiMe3 + CO2 -> 5-SiMe3-CO2.P,CO2_product,5-SiMe3,CO2,5-SiMe3-CO2.P,,-0.01811820199986869,-11.369343406763347
5-tBu + CO2 -> 5-tBu-CO2.P,CO2_product,5-tBu,CO2,5-tBu-CO2.P,,-0.026154992999977367,-16.412505899889478
6-CN + CO2 -> 6-CN-CO2.P,CO2_product,6-CN,CO2,6-CN-CO2.P,,-0.015251860000034867,-9.57068664614352
6-H + CO2 -> 6-H-CO2.P,CO2_product,6-H,CO2,6-H-CO2.P,,-0.017974701999946774,-11.279295797293347
6-Me + CO2 -> 6-Me-CO2.P,CO2_product,6-Me,CO2,6-Me-CO2.P,,-0.023396912999942288,-14.681784569817546
6-PMe2 + CO2 -> 6-PMe2-CO2.P,CO2_product,6-PMe2,CO2,6-PMe2-CO2.P,,-0.020709202000034566,-12.995220454001437
6-Ph + CO2 -> 6-Ph-CO2.P,CO2_product,6-Ph,CO2,6-Ph-CO2.P,,-0.02021378300003107,-12.68434033789964
6-SiMe3 + CO2 -> 6-SiMe3-CO2.P,CO2_product,6-SiMe3,CO2,6-SiMe3-CO2.P,,-0.01968154900009722,-12.350358460556231
6-tBu + CO2 -> 6-tBu-CO2.P,CO2_product,6-tBu,CO2,6-tBu-CO2.P,,-0.030810112000040135,-19.333637175026272
1-Me + CO2 -> 1-Me-CO2.P,transition_state,1-Me,CO2,1-Me-CO2.P,1-Me-CO2.TS,0.022082572999920558,13.85702376774675
1-PMe2 + CO2 -> 1-PMe2-CO2.P,transition_state,1-PMe2,CO2,1-PMe2-CO2.P,1-PMe2-CO2.TS,0.022644619000175226,14.20971295773036
1-Ph + CO2 -> 1-Ph-CO2.P,transition_state,1-Ph,CO2,1-Ph-CO2.P,1-Ph-CO2.TS,0.025875746999986404,16.237276389318545
1-SiMe3 + CO2 -> 1-SiMe3-CO2.P,transition_state,1-SiMe3,CO2,1-SiMe3-CO2.P,1-SiMe3-CO2.TS,0.029539841000087108,18.536530088008295
1-tBu + CO2 -> 1-tBu-CO2.P,transition_state,1-tBu,CO2,1-tBu-CO2.P,1-tBu-CO2.TS,0.016103789999988294,10.105280792299114
1-tBu + CS2 -> 1-tBu-CS2.P,transition_state,1-tBu,CS2,1-tBu-CS2.P,1-tBu-CS2.TS,0.008109814999897935,5.088985744823263
1-tBu + H2CO -> 1-tBu-H2CO.P,transition_state,1-tBu,H2CO,1-tBu-H2CO.P,1-tBu-H2CO.TS,-0.007456792999960271,-4.679208253131951
1-tBu + MeCH=NMe -> 1-tBu-MeCH=NMe.P,transition_state,1-tBu,MeCH=NMe,1-tBu-MeCH=NMe.P,1-tBu-MeCH=NMe.TS,0.013286758999925041,8.337567151207729
1-tBu + MeCN -> 1-tBu-MeCN.P,transition_state,1-tBu,MeCN,1-tBu-MeCN.P,1-tBu-MeCN.TS,0.01623150099999293,10.185420654736038
